part_number, part_name, qty, threshold_qty, dependencies, verified_date, alt_part_nums, search_parms, notes
217-6515, Falcon 500, 14, 0, None, 2022-01-08 18:47:33, None, 217-6515 Falcon 500 , 
15-697867, SRX Magnetic Encoder, 5, 0, None, 2022-01-08 01:37:05, None, 15-697867 SRX Magnetic Encoder , 
AM-3071, , 3, 0, None, 2022-01-08 01:40:43, None, AM-3071  , 
94669A311, Aluminum Unthreaded Spacer, 4.500 mm OD, 18 mm Long, for M3 Screw Size, 15, 0, None, 2022-01-08 01:40:05, None, 94669A311 Aluminum Unthreaded Spacer, 4.500 mm OD, 18 mm Long, for M3 Screw Size , 
92510A609, , 0, 0, None, None, None, 92510A609  , 
94669A128, , 0, 0, None, None, None, 94669A128  , 
94669A319, , 0, 0, None, None, None, 94669A319  , 
217-3875, 0.500" Hex ID x 1.125" OD x 0.313" WD (Flanged Bearing v2), 0, 0, None, None, None, 217-3875 0.500" Hex ID x 1.125" OD x 0.313" WD (Flanged Bearing v2) , 
217-3351, Bag Motor, 0, 0, None, None, None, 217-3351 Bag Motor , 
217-4006, Bearing, Flanged, 13.75mm (1/2" ThunderHex ID) x 1.125" OD x 0.313" WD, 0, 0, None, None, None, 217-4006 Bearing, Flanged, 13.75mm (1/2" ThunderHex ID) x 1.125" OD x 0.313" WD , 
217-5046, Versa Planetary Integrated Encoder, 0, 0, None, None, None, 217-5046 Versa Planetary Integrated Encoder , 
217-6919, 12T Steel Spur Gear (20 DP, Falcon Motor), 0, 0, None, None, None, 217-6919 12T Steel Spur Gear (20 DP, Falcon Motor) , 
217-4858, , 0, 0, None, None, None, 217-4858  , 
REV-21-1651, Neo 550 Brushless motor, 0, 0, None, None, None, REV-21-1651 Neo 550 Brushless motor , 
WCP-0176, 38t Steel Spur Gear (20 DP, 1/2" Hex Bore), 0, 0, None, None, None, WCP-0176 38t Steel Spur Gear (20 DP, 1/2" Hex Bore) , 
WCP-0185, 56t Pocketed Steel Spur Gear (20 DP, 1/2" Hex Bore) (WCP-0185), 0, 0, None, None, None, WCP-0185 56t Pocketed Steel Spur Gear (20 DP, 1/2" Hex Bore) (WCP-0185) , 
AVT-PP-35, Polypropylene Air Volume Tank, 0, 0, None, None, None, AVT-PP-35 Polypropylene Air Volume Tank , 
91864A028, Black-Oxide Alloy Steel Socket Head Screw 4-40 Thread Size, 9/16"" Long, 0, 0, None, None, None, 91864A028 Black-Oxide Alloy Steel Socket Head Screw 4-40 Thread Size, 9/16"" Long , 
92510A434, "Aluminum Unthreaded Spacer 3/8"" OD, 2-1/4"" Long, for Number 10 Screw Size", 0, 0, None, None, None, 92510A434 "Aluminum Unthreaded Spacer 3/8"" OD, 2-1/4"" Long, for Number 10 Screw Size" , 
90044A263, "Black-Oxide Alloy Steel Socket Head Screw 10-32 Thread Size, 7"" Long", 0, 0, None, None, None, 90044A263 "Black-Oxide Alloy Steel Socket Head Screw 10-32 Thread Size, 7"" Long" , 
91251A078, "Black-Oxide Alloy Steel Socket Head Screw 4-40 Thread Size, 1-1/4"" Long", 0, 0, None, None, None, 91251A078 "Black-Oxide Alloy Steel Socket Head Screw 4-40 Thread Size, 1-1/4"" Long" , 
97447A130, "Aluminum Blind Rivets with Aluminum Mandrel Domed Head,  1/8"" Diameter, for 0.313""- 0.375"" Material Thicknes. Pack of 250", 0, 0, None, None, None, 97447A130 "Aluminum Blind Rivets with Aluminum Mandrel Domed Head,  1/8"" Diameter, for 0.313""- 0.375"" Material Thicknes. Pack of 250" , 
1691T73, "Impact-Resistant Compact Tie Rod Air Cylinder Round Face, Double Acting, 1/2"" Bore, 1/2"" Stroke Length", 0, 0, None, None, None, 1691T73 "Impact-Resistant Compact Tie Rod Air Cylinder Round Face, Double Acting, 1/2"" Bore, 1/2"" Stroke Length" , 
91251A907, "Black-Oxide Alloy Steel Socket Head Screw 10-32 Thread Size, 6"" Long", 0, 0, None, None, None, 91251A907 "Black-Oxide Alloy Steel Socket Head Screw 10-32 Thread Size, 6"" Long" , 
92510A650, "Aluminum Unthreaded Spacer 3/8"" OD, 1-1/4"" Long, for Number 10 Screw Size", 0, 0, None, None, None, 92510A650 "Aluminum Unthreaded Spacer 3/8"" OD, 1-1/4"" Long, for Number 10 Screw Size" , 
93330A473, Female Threaded Round Standoff, Aluminum, 1/4" OD, 2" Long, 6-32 Thread Size, 0, 0, None, None, None, 93330A473 Female Threaded Round Standoff, Aluminum, 1/4" OD, 2" Long, 6-32 Thread Size , 
98075A143, Rivet Studs 1/4"-20 Thread, for 0.027"-0.165" Material Thickness, 0, 0, None, None, None, 98075A143 Rivet Studs 1/4"-20 Thread, for 0.027"-0.165" Material Thickness , 
90480A195, 10-32 Nut, 0, 0, None, None, None, 90480A195 10-32 Nut , 
91259A103, , 0, 0, None, None, None, 91259A103  , 
474487, , 0, 0, None, None, None, 474487  , 
474489, , 0, 0, None, None, None, 474489  , 
6C200R25AP, , 0, 0, None, None, None, 6C200R25AP  , 
474491, , 0, 0, None, None, None, 474491  , 
91251A199, "Black-Oxide Alloy Steel Socket Head Screw 8-32 Thread Size, 1"" Long", 0, 0, None, None, None, 91251A199 "Black-Oxide Alloy Steel Socket Head Screw 8-32 Thread Size, 1"" Long" , 
91251A155, "Black-Oxide Alloy Steel Socket Head Screw 6-32 Thread Size, 1-1/4"" Long, Partially Threaded", 0, 0, None, None, None, 91251A155 "Black-Oxide Alloy Steel Socket Head Screw 6-32 Thread Size, 1-1/4"" Long, Partially Threaded" , 
91251A287, "Black-Oxide Alloy Steel Socket Head Screw 10-32 Thread Size, 1-5/8"" Long", 0, 0, None, None, None, 91251A287 "Black-Oxide Alloy Steel Socket Head Screw 10-32 Thread Size, 1-5/8"" Long" , 
91251A337, "Black-Oxide Alloy Steel Socket Head Screw 10-32 Thread Size, 5/16"" Long", 0, 0, None, None, None, 91251A337 "Black-Oxide Alloy Steel Socket Head Screw 10-32 Thread Size, 5/16"" Long" , 
217-3496, , 0, 0, None, None, None, 217-3496  , 
90631A007, Low-Strength Steel Nylon-Insert Locknut Zinc-Plated, 6-32 Thread Size, 0, 0, None, None, None, 90631A007 Low-Strength Steel Nylon-Insert Locknut Zinc-Plated, 6-32 Thread Size , 
AM-0546, SB50 APP Connector with Contacts, 3, 0, None, 2022-01-08 01:39:55, None, AM-0546 SB50 APP Connector with Contacts , 
AM-4600, 2022 Cargo Ball, 0, 0, None, None, None, AM-4600 2022 Cargo Ball , 
ES17-12, , 0, 0, None, None, None, ES17-12  , 
6075K15, "Flat Belting 1"" Wide", 0, 0, None, None, None, 6075K15 "Flat Belting 1"" Wide" , 
5234K94, , 0, 0, None, None, None, 5234K94  , 
9/16"" Long", 0, 0, 0, None, None, None, 9/16"" Long" 0 , 
2-1/4"" Long,  for Number 10 Screw Size", 0, 0, None, None, None, 2-1/4"" Long  for Number 10 Screw Size" , 
7"" Long", 12, 0, 0, None, None, None, 7"" Long" 12 , 
1-1/4"" Long", 0, 0, 0, None, None, None, 1-1/4"" Long" 0 , 
for 0.313""- 0.375"" Material Thicknes. Pack of 250", 6, 0, 0, None, None, None, for 0.313""- 0.375"" Material Thicknes. Pack of 250" 6 , 
Double Acting,  1/2"" Bore,  1/2"" Stroke Length", 0, None, None, None, Double Acting  1/2"" Bore , 
6"" Long", 6, 0, 0, None, None, None, 6"" Long" 6 , 
1-1/4"" Long,  for Number 10 Screw Size", 0, 0, None, None, None, 1-1/4"" Long  for Number 10 Screw Size" , 
490 633, , 0, 0, None, None, None, 490 633  , 
B84CM, , 0, 0, None, None, None, B84CM  , 
1"" Long", 91, 0, 0, None, None, None, 1"" Long" 91 , 
T395993, , 0, 0, None, None, None, T395993  , 
T390895, , 0, 0, None, None, None, T390895  , 
T395353, , 0, 0, None, None, None, T395353  , 
T397941, , 0, 0, None, None, None, T397941  , 
T395443, , 0, 0, None, None, None, T395443  , 
1-5/8"" Long", 12, 0, 0, None, None, None, 1-5/8"" Long" 12 , 
5/16"" Long", 87, 0, 0, None, None, None, 5/16"" Long" 87 , 
217-6706, , 0, 0, None, None, None, 217-6706  , 
91259A544, "Alloy Steel Shoulder Screw,  1/4"" Shoulder Diameter, 0, None, None, None, 91259A544 "Alloy Steel Shoulder Screw , 
33785T45, Square shape threaded connecting link, 0, 0, None, None, None, 33785T45 Square shape threaded connecting link , 
3961T2, "Long-Lasting Polyurethane Cord 1/4"" Diameter", 0, 0, None, None, None, 3961T2 "Long-Lasting Polyurethane Cord 1/4"" Diameter" , 
97431A330, , 0, 0, None, None, None, 97431A330  , 
90630A110, "High-Strength Steel Nylon-Insert Locknut,  Grade 8, 0, None, None, None, 90630A110 "High-Strength Steel Nylon-Insert Locknut , 
91251A342, "Black-Oxide Alloy Steel Socket Head Screw,  10-32 Thread Size, 0, None, None, None, 91251A342 "Black-Oxide Alloy Steel Socket Head Screw , 
91290A306, "Black-Oxide Alloy Steel Socket Head Screw,  M4 x 0.7 mm Thread, 0, None, None, None, 91290A306 "Black-Oxide Alloy Steel Socket Head Screw , 
2"" Shoulder Length,  5/16""-18 Thread", 0, 0, None, None, None, 2"" Shoulder Length  5/16""-18 Thread" , 
91251A148, "Black-Oxide Alloy Steel Socket Head Screw 6-32 Thread Size,  1/2"" Long", 0, None, None, None, 91251A148 "Black-Oxide Alloy Steel Socket Head Screw 6-32 Thread Size , 
91251A150, "Black-Oxide Alloy Steel Socket Head Screw,  6-32 Thread Size, 0, None, None, None, 91251A150 "Black-Oxide Alloy Steel Socket Head Screw , 
91251A360, "Black-Oxide Alloy Steel Socket Head Screw,  10-32 Thread Size, 0, None, None, None, 91251A360 "Black-Oxide Alloy Steel Socket Head Screw , 
94105A828, "Alloy Steel Flat-Tip Set Screws Black Oxide,  10-32 Thread, 0, None, None, None, 94105A828 "Alloy Steel Flat-Tip Set Screws Black Oxide , 
5/8"" Long", 94, 0, 0, None, None, None, 5/8"" Long" 94 , 
91253A003, "Alloy Steel Flathead socket cap screw. 1/2"" long", 95, 0, None, None, None, 91253A003 "Alloy Steel Flathead socket cap screw. 1/2"" long" , 
1/4"" Long", 34, 0, 0, None, None, None, 1/4"" Long" 34 , 
91251A353, "Black-Oxide Alloy Steel Socket Head Screw,  10-32 Thread Size, 0, None, None, None, 91251A353 "Black-Oxide Alloy Steel Socket Head Screw , 
6498K636, "Round Body Air Cylinder,  Double-Acting, 0, None, None, None, 6498K636 "Round Body Air Cylinder , 
0, , 0, 0, None, None, None, 0  , 
91253A269, Alloy steel socket cap screw 10-32. 5 pack, 3, 0, None, None, None, 91253A269 Alloy steel socket cap screw 10-32. 5 pack , 
1-3/16"" Long,  for Number 10 Screw Size", 0, 0, None, None, None, 1-3/16"" Long  for Number 10 Screw Size" , 
91125A037, "Female Threaded Round Standoff,  18-8 Stainless Steel, 0, None, None, None, 91125A037 "Female Threaded Round Standoff , 
2"" Long,  for Number 10 Screw Size", 0, 0, None, None, None, 2"" Long  for Number 10 Screw Size" , 
1"" Long,  for Number 10 Screw Size", 0, 0, None, None, None, 1"" Long  for Number 10 Screw Size" , 
92510A647, "brake plate standoff 3/4"" 3/8"" OD close fit 10-32", 0, 0, None, None, None, 92510A647 "brake plate standoff 3/4"" 3/8"" OD close fit 10-32" , 
91259A581, "Alloy Steel Shoulder Screw,  5/16"" Shoulder Diameter, 0, None, None, None, 91259A581 "Alloy Steel Shoulder Screw , 
90631A005, "Low-Strength Steel Nylon-Insert Locknut Zinc-Plated,  4-40 Thread Size", 0, None, None, None, 90631A005 "Low-Strength Steel Nylon-Insert Locknut Zinc-Plated , 
6130K33, "Ultra-Precision Ball Joint Rod End,  1/4""-28 Internal Thread", 0, None, None, None, 6130K33 "Ultra-Precision Ball Joint Rod End , 
91286A123, , 0, 0, None, None, None, 91286A123  , 
9271K182, "Torsion Spring 180 Degree Left-Hand Wound,  0.404"" OD", 0, None, None, None, 9271K182 "Torsion Spring 180 Degree Left-Hand Wound , 
9271K181, "Torsion Spring 180 Degree Right-Hand Wound,  0.404"" OD", 0, None, None, None, 9271K181 "Torsion Spring 180 Degree Right-Hand Wound , 
