part_number, part_name, qty, threshold_qty, dependencies, verified_date, alt_part_nums, search_parms
91251A199, "Black-Oxide Alloy Steel Socket Head Screw, 0, 0, None, None, None, 91251A199 "Black-Oxide Alloy Steel Socket Head Screw 
8-32 Thread Size,  1"" Long", 0, 0, None, None, None, 8-32 Thread Size  1"" Long" 
91251A155, "Black-Oxide Alloy Steel Socket Head Screw, 0, 0, None, None, None, 91251A155 "Black-Oxide Alloy Steel Socket Head Screw 
6-32 Thread Size,  1-1/4"" Long, Partially Threaded", 0, 0, None, None, None, 6-32 Thread Size  1-1/4"" Long, Partially Threaded" 
T395993, , 0, 0, None, None, None, T395993  
T390895, , 0, 0, None, None, None, T390895  
T395353, , 0, 0, None, None, None, T395353  
T397941, , 0, 0, None, None, None, T397941  
T395443, , 0, 0, None, None, None, T395443  
91251A287, "Black-Oxide Alloy Steel Socket Head Screw, 0, 0, None, None, None, 91251A287 "Black-Oxide Alloy Steel Socket Head Screw 
91251A337, "Black-Oxide Alloy Steel Socket Head Screw, 0, 0, None, None, None, 91251A337 "Black-Oxide Alloy Steel Socket Head Screw 
217-3496, , 0, 0, None, None, None, 217-3496  
90631A007, "Low-Strength Steel Nylon-Insert Locknut Zinc-Plated, 6-32 Thread Size", 0, 0, None, None, None, 90631A007 "Low-Strength Steel Nylon-Insert Locknut Zinc-Plated, 6-32 Thread Size" 
217-6706, , 0, 0, None, None, None, 217-6706  
91259A544, "Alloy Steel Shoulder Screw, 1/4"" Shoulder Diameter, 1-1/4"" Shoulder Length, 10-24 Thread", 0, 0, None, None, None, 91259A544 "Alloy Steel Shoulder Screw, 1/4"" Shoulder Diameter, 1-1/4"" Shoulder Length, 10-24 Thread" 
33785T45, Square shape threaded connecting link, 0, 0, None, None, None, 33785T45 Square shape threaded connecting link 
3961T2, "Long-Lasting Polyurethane Cord 1/4"" Diameter", 0, 0, None, None, None, 3961T2 "Long-Lasting Polyurethane Cord 1/4"" Diameter" 
97431A330, , 0, 0, None, None, None, 97431A330  
90630A110, "High-Strength Steel Nylon-Insert Locknut, Grade 8, 1/4""-20 Thread Size", 0, 0, None, None, None, 90630A110 "High-Strength Steel Nylon-Insert Locknut, Grade 8, 1/4""-20 Thread Size" 
91251A342, "Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 1/2"" Long", 0, 0, None, None, None, 91251A342 "Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 1/2"" Long" 
91290A306, "Black-Oxide Alloy Steel Socket Head Screw, M4 x 0.7 mm Thread, 15 mm Long", 0, 0, None, None, None, 91290A306 "Black-Oxide Alloy Steel Socket Head Screw, M4 x 0.7 mm Thread, 15 mm Long" 
90298A632, "18-8 Stainless Steel Shoulder Screw, 0, 0, None, None, None, 90298A632 "18-8 Stainless Steel Shoulder Screw 
3/8"" Shoulder Diameter,  2"" Shoulder Length, 5/16""-18 Thread", 0, 0, None, None, None, 3/8"" Shoulder Diameter  2"" Shoulder Length, 5/16""-18 Thread" 
91251A148, "Black-Oxide Alloy Steel Socket Head Screw 6-32 Thread Size, 1/2"" Long", 0, 0, None, None, None, 91251A148 "Black-Oxide Alloy Steel Socket Head Screw 6-32 Thread Size, 1/2"" Long" 
91251A150, "Black-Oxide Alloy Steel Socket Head Screw, 6-32 Thread Size, 5/8"" Long", 0, 0, None, None, None, 91251A150 "Black-Oxide Alloy Steel Socket Head Screw, 6-32 Thread Size, 5/8"" Long" 
91251A360, "Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 3"" Long, Partially Threaded", 0, 0, None, None, None, 91251A360 "Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 3"" Long, Partially Threaded" 
94105A828, "Alloy Steel Flat-Tip Set Screws Black Oxide, 10-32 Thread, 1/2"" Long", 0, 0, None, None, None, 94105A828 "Alloy Steel Flat-Tip Set Screws Black Oxide, 10-32 Thread, 1/2"" Long" 
91253A006, "Black-Oxide Alloy Steel Hex Drive Flat Head Screw, 0, 0, None, None, None, 91253A006 "Black-Oxide Alloy Steel Hex Drive Flat Head Screw 
91253A003, "Alloy Steel Flathead socket cap screw. 1/2"" long", 0, 0, None, None, None, 91253A003 "Alloy Steel Flathead socket cap screw. 1/2"" long" 
91251A338, "Black-Oxide Alloy Steel Socket Head Screw, 0, 0, None, None, None, 91251A338 "Black-Oxide Alloy Steel Socket Head Screw 
91251A353, "Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 2"" Long, Partially Threaded", 0, 0, None, None, None, 91251A353 "Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 2"" Long, Partially Threaded" 
6498K636, "Round Body Air Cylinder, Double-Acting, Universal Mount, 3/4"" Bore Size, 4"" Stroke", 0, 0, None, None, None, 6498K636 "Round Body Air Cylinder, Double-Acting, Universal Mount, 3/4"" Bore Size, 4"" Stroke" 
2297T15, "0.78"" Diameter Abrasion-Resistant Conveyor Roller, 0, 0, None, None, None, 2297T15 "0.78"" Diameter Abrasion-Resistant Conveyor Roller 
91253A269, Alloy steel socket cap screw 10-32. 5 pack, 0, 0, None, None, None, 91253A269 Alloy steel socket cap screw 10-32. 5 pack 
92511A012, "Aluminum Unthreaded Spacer, 0, 0, None, None, None, 92511A012 "Aluminum Unthreaded Spacer 
91125A037, "Female Threaded Round Standoff, 18-8 Stainless Steel, 1/4"" OD, 3"" Long, 10-32 Thread Size", 0, 0, None, None, None, 91125A037 "Female Threaded Round Standoff, 18-8 Stainless Steel, 1/4"" OD, 3"" Long, 10-32 Thread Size" 
92511A032, "Aluminum Unthreaded Spacer, 0, 0, None, None, None, 92511A032 "Aluminum Unthreaded Spacer 
92510A649, "Aluminum Unthreaded Spacer, 0, 0, None, None, None, 92510A649 "Aluminum Unthreaded Spacer 
92510A647, "brake plate standoff 3/4"" 3/8"" OD close fit 10-32", 0, 0, None, None, None, 92510A647 "brake plate standoff 3/4"" 3/8"" OD close fit 10-32" 
91259A581, "Alloy Steel Shoulder Screw, 5/16"" Shoulder Diameter, 3/4"" Shoulder Length, 1/4""-20 Thread", 0, 0, None, None, None, 91259A581 "Alloy Steel Shoulder Screw, 5/16"" Shoulder Diameter, 3/4"" Shoulder Length, 1/4""-20 Thread" 
