part_number, part_name, qty, threshold_qty, dependencies, verified_date, alt_part_nums, search_parms, notes
217-6515, Falcon 500, 0, 0, None, None, None, 217-6515 Falcon 500 , 
15-697867, SRX Magnetic Encoder, 5, 0, None, None, None, 15-697867 SRX Magnetic Encoder , 
AM-0549, SB50 APP Connector with Contacts, 3, 0, None, None, None, AM-0549 SB50 APP Connector with Contacts , 
AM-3071, , 3, 0, None, None, None, AM-3071  , 
94669A311, Aluminum Unthreaded Spacer, 4.500 mm OD, 18 mm Long, for M3 Screw Size, 3, 0, None, None, None, 94669A311 Aluminum Unthreaded Spacer, 4.500 mm OD, 18 mm Long, for M3 Screw Size , 
92510A609, , 0, 0, None, None, None, 92510A609  , 
94669A128, , 0, 0, None, None, None, 94669A128  , 
94669A319, , 0, 0, None, None, None, 94669A319  , 
