part_number, part_name, qty, threshold_qty, dependencies, verified_date, alt_part_nums, search_parms, notes
94105A828, "Alloy Steel Flat-Tip Set Screws Black Oxide  10-32 Thread  1/2"" Long", 45, 0, None, None, None, 94105A828 "Alloy Steel Flat-Tip Set Screws Black Oxide  10-32 Thread  1/2"" Long" , 
94, , 0, 0, None, None, None, 94  , 
91253A003, "Alloy Steel Flathead socket cap screw. 1/2"" long", 95, 0, None, None, None, 91253A003 "Alloy Steel Flathead socket cap screw. 1/2"" long" , 
34, , 0, 0, None, None, None, 34  , 
91251A353, "Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  2"" Long  Partially Threaded", 19, 0, None, None, None, 91251A353 "Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  2"" Long  Partially Threaded" , 
6498K636, "Round Body Air Cylinder  Double-Acting  Universal Mount  3/4"" Bore Size  4"" Stroke", 0, 0, None, None, None, 6498K636 "Round Body Air Cylinder  Double-Acting  Universal Mount  3/4"" Bore Size  4"" Stroke" , 
91253A269, Alloy steel socket cap screw 10-32. 5 pack, 3, 0, None, None, None, 91253A269 Alloy steel socket cap screw 10-32. 5 pack , 
91125A037, "Female Threaded Round Standoff  18-8 Stainless Steel  1/4"" OD  3"" Long  10-32 Thread Size", 0, 0, None, None, None, 91125A037 "Female Threaded Round Standoff  18-8 Stainless Steel  1/4"" OD  3"" Long  10-32 Thread Size" , 
92510A647, "brake plate standoff 3/4"" 3/8"" OD close fit 10-32", 0, 0, None, None, None, 92510A647 "brake plate standoff 3/4"" 3/8"" OD close fit 10-32" , 
91259A581, "Alloy Steel Shoulder Screw  5/16"" Shoulder Diameter  3/4"" Shoulder Length  1/4""-20 Thread", 0, 0, None, None, None, 91259A581 "Alloy Steel Shoulder Screw  5/16"" Shoulder Diameter  3/4"" Shoulder Length  1/4""-20 Thread" , 
90631A005, Low-Strength Steel Nylon-Insert Locknut Zinc-Plated  4-40 Thread Size, 0, 0, None, None, None, 90631A005 Low-Strength Steel Nylon-Insert Locknut Zinc-Plated  4-40 Thread Size , 
6130K33, "Ultra-Precision Ball Joint Rod End  1/4""-28 Internal Thread", 0, 0, None, None, None, 6130K33 "Ultra-Precision Ball Joint Rod End  1/4""-28 Internal Thread" , 
91286A123, , 0, 0, None, None, None, 91286A123  , 
9271K182, "Torsion Spring 180 Degree Left-Hand Wound  0.404"" OD", 0, 0, None, None, None, 9271K182 "Torsion Spring 180 Degree Left-Hand Wound  0.404"" OD" , 
9271K181, "Torsion Spring 180 Degree Right-Hand Wound  0.404"" OD", 0, 0, None, None, None, 9271K181 "Torsion Spring 180 Degree Right-Hand Wound  0.404"" OD" , 
92012A546, "Alloy Steel Precision Shoulder Screw  1/4"" Shoulder Diameter  1-1/2"" Shoulder Length  10-32 Thread", 4, 0, None, None, None, 92012A546 "Alloy Steel Precision Shoulder Screw  1/4"" Shoulder Diameter  1-1/2"" Shoulder Length  10-32 Thread" , 
91259A628, "Alloy Steel Shoulder Screw  3/8"" Shoulder Diameter  1-1/2"" Shoulder Length  5/16""-18 Thread", 0, 0, None, None, None, 91259A628 "Alloy Steel Shoulder Screw  3/8"" Shoulder Diameter  1-1/2"" Shoulder Length  5/16""-18 Thread" , 
91255A192, "Button Head Hex Drive Screw Black-Oxide Alloy Steel  8-32 Thread  3/8"" Long", 121, 0, None, None, None, 91255A192 "Button Head Hex Drive Screw Black-Oxide Alloy Steel  8-32 Thread  3/8"" Long" , 
97, , 0, 0, None, None, None, 97  , 
91251A344, "Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  5/8"" Long", 91, 0, None, None, None, 91251A344 "Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  5/8"" Long" , 
126, , 0, 0, None, None, None, 126  , 
91251A356, "Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  9/16"" Long", 38, 0, None, None, None, 91251A356 "Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  9/16"" Long" , 
90044A523, 10-32 2 1/4 in screw, 0, 0, None, None, None, 90044A523 10-32 2 1/4 in screw , 
91286A113, "High-Strength Grade 8 Steel Hex Head Screw  Zinc-Aluminum Coated  1/4""-20 Thread Size  1-1/4"" Long", 0, 0, None, None, None, 91286A113 "High-Strength Grade 8 Steel Hex Head Screw  Zinc-Aluminum Coated  1/4""-20 Thread Size  1-1/4"" Long" , 
95505A601, "Medium-Strength Steel Hex Nut  Grade 5  1/4""-20 Thread Size", 0, 0, None, None, None, 95505A601 "Medium-Strength Steel Hex Nut  Grade 5  1/4""-20 Thread Size" , 
91251A345, "Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  3/4"" Long", 96, 0, None, None, None, 91251A345 "Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  3/4"" Long" , 
38, , 0, 0, None, None, None, 38  , 
14, , 0, 0, None, None, None, 14  , 
97526A130, "Domed Head Blind Rivets 1/8"" Diameter  for 0.188""-0.25"" Material Thickness. 250 pack", 19, 0, None, None, None, 97526A130 "Domed Head Blind Rivets 1/8"" Diameter  for 0.188""-0.25"" Material Thickness. 250 pack" , 
E18-D80NK, , 0, 0, None, None, None, E18-D80NK  , 
BRG-0001, Swyft Bearing, 0, 0, None, None, None, BRG-0001 Swyft Bearing , 
