Responsible Party,part_number,part_name,qty,Something,unit,QTY Per Unit,QTY per ASSY,Price Per Unit,Price Per Piece,Total PO Price,Website Link,Ordered?,PO#,Arrived?,QTY Multiplier,Comments,Multiplier,2,2,1,2,2,2,2,2,2
,T395993,,0,,,,,,,,,,,,,,,,,,,,,,,
,T390895,,0,,,,,,,,,,,,,,,,,,,,,,,
,T395353,,0,,,,,,,,,,,,,,,,,,,,,,,
,T397941,,0,,,,,,,,,,,,,,,,,,,,,,,
,T395443,,0,,,,,,,,,,,,,,,,,,,,,,,
,91251A287,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size  1-5/8"" Long",12,,,,,$11.19 ,,,,,,,,,,,,,,,,,,
,91251A337,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size  5/16"" Long",87,,,,,$14.66 ,,,,,,,,,,,,,,,,,,
,217-3496,,0,,,,,,,,,,,,,,,,,,,,,,,
,90631A007,Low-Strength Steel Nylon-Insert Locknut Zinc-Plated  6-32 Thread Size,0,,,,,$2.72 ,$0.03 ,,https://www.mcmaster.com/90631a007,,,,,,,,,,,,,,,
,217-6706,,0,,,,,,,,,,,,,,,,,,,,,,,
,91259A544,"Alloy Steel Shoulder Screw  1/4"" Shoulder Diameter  1-1/4"" Shoulder Length  10-24 Thread",23,,,,,$1.40 ,$1.40 ,,https://www.mcmaster.com/91259a544,,,,,,,,,,,,,,,
,33785T45,Square shape threaded connecting link,0,,,,,$6.32 ,$6.32 ,,https://www.mcmaster.com/33785t45,,,,,,,,,,,,,,,
,3961T2,"Long-Lasting Polyurethane Cord 1/4"" Diameter",0,,,,,$0.77 ,$0.77 ,,https://www.mcmaster.com/3961t2-3961T21,,,,,,,,,,,,,,,
,97431A330,,0,,,,,,,,,,,,,,,,,,,,,,,
,90630A110,"High-Strength Steel Nylon-Insert Locknut  Grade 8  1/4""-20 Thread Size",0,,,,,$3.22 ,$0.13 ,,https://www.mcmaster.com/90630a110,,,,,,,,,,,,,,,
,91251A342,"Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  1/2"" Long",88,,,,,$10.07 ,,,,,,,,,,,,,,,,,,
,91290A306,Black-Oxide Alloy Steel Socket Head Screw  M4 x 0.7 mm Thread  15 mm Long,0,,,,,$10.74 ,$2.15 ,,https://www.mcmaster.com/91290a306,,,,,,,,,,,,,,,
,90298A632,"18-8 Stainless Steel Shoulder Screw
3/8"" Shoulder Diameter  2"" Shoulder Length  5/16""-18 Thread",0,,,,,$5.88 ,$5.88 ,,https://www.mcmaster.com/90298a632,,,,,,,,,,,,,,,
,91251A148,"Black-Oxide Alloy Steel Socket Head Screw 6-32 Thread Size  1/2"" Long",0,,,,,$8.96 ,$0.09 ,,https://www.mcmaster.com/91251a148,,,,,,,,,,,,,,,
,91251A150,"Black-Oxide Alloy Steel Socket Head Screw  6-32 Thread Size  5/8"" Long",0,,,,,$9.20 ,$0.09 ,,https://www.mcmaster.com/91251a150,,,,,,,,,,,,,,,
,91251A360,"Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  3"" Long  Partially Threaded",21,,,,,$12.25 ,$0.49 ,,https://www.mcmaster.com/91251a360,,,,,,,,,,,,,,,
,94105A828,"Alloy Steel Flat-Tip Set Screws Black Oxide  10-32 Thread  1/2"" Long",45,,,,,$10.20 ,$0.20 ,,https://www.mcmaster.com/94105a828,,,,,,,,,,,,,,,
,91253A006,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw
10-32 Thread Size  5/8"" Long",94,,,,,$11.77 ,$0.12 ,,https://www.mcmaster.com/91253a006,,,,,,,,,,,,,,,
,91253A003,"Alloy Steel Flathead socket cap screw. 1/2"" long",95,,,,,$11.57 ,$0.12 ,,https://www.mcmaster.com/91253A003,,,,,,,,,,,,,,,
,91251A338,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size  1/4"" Long",34,,,,,$8.40 ,$0.34 ,,https://www.mcmaster.com/91251a338,,,,,,,,,,,,,,,
,91251A353,"Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  2"" Long  Partially Threaded",19,,,,,$6.95 ,$0.28 ,,https://www.mcmaster.com/91251a353,,,,,,,,,,,,,,,
,6498K636,"Round Body Air Cylinder  Double-Acting  Universal Mount  3/4"" Bore Size  4"" Stroke",0,,,,,$38.56 ,$38.56 ,,https://www.mcmaster.com/6498k636,,,,,,,,,,,,,,,
,2297T15,"0.78"" Diameter Abrasion-Resistant Conveyor Roller
for 8"" Between Frame Width",0,,,,,$8.44 ,$8.44 ,,https://www.mcmaster.com/2297t15,,,,,,,,,,,,,,,
fix packs and units,91253A269,Alloy steel socket cap screw 10-32. 5 pack,3,,,,,$9.02 ,,,,,,,,,,,,,,,,,,
,92511A012,"Aluminum Unthreaded Spacer
3/8"" OD  1-3/16"" Long  for Number 10 Screw Size",0,,,,,$1.29 ,$1.54 ,,https://www.mcmaster.com/92511a012,,,,,,,,,,,,,,,
,91125A037,"Female Threaded Round Standoff  18-8 Stainless Steel  1/4"" OD  3"" Long  10-32 Thread Size",0,,,,,$5.02 ,$5.02 ,,https://www.mcmaster.com/91125a037,,,,,,,,,,,,,,,
,92511A032,"Aluminum Unthreaded Spacer
3/8"" OD  2"" Long  for Number 10 Screw Size",0,,,,,$2.65 ,,,,,,,,,,,,,,,,,,
,92510A649,"Aluminum Unthreaded Spacer
3/8"" OD  1"" Long  for Number 10 Screw Size",0,,,,,$1.27 ,,,,,,,,,,,,,,,,,,
,92510A647,"brake plate standoff 3/4"" 3/8"" OD close fit 10-32",0,,,,,$1.27 ,,,,,,,,,,,,,,,,,,
,91259A581,"Alloy Steel Shoulder Screw  5/16"" Shoulder Diameter  3/4"" Shoulder Length  1/4""-20 Thread",0,,,,,$1.46 ,$1.46 ,,https://www.mcmaster.com/91259a581,,,,,,,,,,,,,,,
,90631A005,Low-Strength Steel Nylon-Insert Locknut Zinc-Plated  4-40 Thread Size,0,,,,,$2.79 ,$0.03 ,,https://www.mcmaster.com/90631a005,,,,,,,,,,,,,,,
,6130K33,"Ultra-Precision Ball Joint Rod End  1/4""-28 Internal Thread",0,,,,,$19.24 ,$19.24 ,,https://www.mcmaster.com/6130k33,,,,,,,,,,,,,,,
,91286A123,,0,,,,,,,,,,,,,,,,,,,,,,,
,9271K182,"Torsion Spring 180 Degree Left-Hand Wound  0.404"" OD",0,,,,,$6.19 ,$1.03 ,,https://www.mcmaster.com/9271k182,,,,,,,,,,,,,,,
,9271K181,"Torsion Spring 180 Degree Right-Hand Wound  0.404"" OD",0,,,,,$6.19 ,$1.03 ,,https://www.mcmaster.com/9271k181,,,,,,,,,,,,,,,
,92012A546,"Alloy Steel Precision Shoulder Screw  1/4"" Shoulder Diameter  1-1/2"" Shoulder Length  10-32 Thread",4,,,,,$9.80 ,$9.80 ,,https://www.mcmaster.com/92012a546,,,,,,,,,,,,,,,
,91259A628,"Alloy Steel Shoulder Screw  3/8"" Shoulder Diameter  1-1/2"" Shoulder Length  5/16""-18 Thread",0,,,,,$1.85 ,$1.85 ,,https://www.mcmaster.com/91259a628,,,,,,,,,,,,,,,
,91255A192,"Button Head Hex Drive Screw Black-Oxide Alloy Steel  8-32 Thread  3/8"" Long",121,,,,,$14.05 ,$0.14 ,,https://www.mcmaster.com/91255A192,,,,,,,,,,,,,,,
,91255A269,"Button Head Hex Drive Screw
Black-Oxide Alloy Steel  10-32 Thread  3/4"" Long",97,,,,,$12.20 ,$0.24 ,,https://www.mcmaster.com/91255a269,,,,,,,,,,,,,,,
,91251A344,"Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  5/8"" Long",91,,,,,$10.79 ,,,,,,,,,,,,,,,,,,
,91251A349,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size  1-1/4"" Long",126,,,,,$12.37 ,$0.25 ,,https://www.mcmaster.com/91251a349,,,,,,,,,,,,,,,
