part_number,part_name,qty,threshold_qty,dependencies,verified_date,alt_part_nums,search_parms
91841A003,,0,0,,,,91841A003
WCP-0047,wheel tires,0,0,,,,WCP-0047 wheel tires
FDPT.625*.75*24,"""Carbon Fiber Roll Wrapped Twill Tube ~ 0.625"""" ID x 24"""" Gloss Finish""",0,0,,,,"FDPT.625*.75*24 ""Carbon Fiber Roll Wrapped Twill Tube ~ 0.625"""" ID x 24"""" Gloss Finish"""
FDPT.875*1.0*24,"""Carbon Fiber Roll Wrapped Twill Tube ~ 0.875"""" ID x 24"""" Gloss Finish""",0,0,,,,"FDPT.875*1.0*24 ""Carbon Fiber Roll Wrapped Twill Tube ~ 0.875"""" ID x 24"""" Gloss Finish"""
FDPT1.125*1.25*24,"""Carbon Fiber Roll Wrapped Twill Tube ~ 1.125"""" ID x 24"""" Gloss Finish""",0,0,,,,"FDPT1.125*1.25*24 ""Carbon Fiber Roll Wrapped Twill Tube ~ 1.125"""" ID x 24"""" Gloss Finish"""
FDPT1.375*1.5*24,"""Carbon Fiber Roll Wrapped Twill Tube ~ 1.375"""" ID x 24"""" Gloss Finish""",0,0,,,,"FDPT1.375*1.5*24 ""Carbon Fiber Roll Wrapped Twill Tube ~ 1.375"""" ID x 24"""" Gloss Finish"""
B076PG87CK,Piscifun Onyx Braided Fishing Line 6lb-150lb Superline Abrasion Resistant Braided Lines Super Strong High Performance PE Fishing Lines,0,0,,,,B076PG87CK Piscifun Onyx Braided Fishing Line 6lb-150lb Superline Abrasion Resistant Braided Lines Super Strong High Performance PE Fishing Lines
COM-13185,Green LED,0,0,,,,COM-13185 Green LED
855PBB12ME522,Robot Signal Light,0,0,,,,855PBB12ME522 Robot Signal Light
AM-0282,120a Circuit Breaker,0,0,,,,AM-0282 120a Circuit Breaker
AM-2005,Pneumatic Compressor,0,0,,,,AM-2005 Pneumatic Compressor
8,,0,0,,,,8
13,,0,0,,,,13
PRU14,NITRA pneumatic push-to-connect inline pressure regulator technopolymer body 1/4in tube inlet(s) 1/4in tube outlet(s) 15-120 psi adjustable range.,0,0,,,,PRU14 NITRA pneumatic push-to-connect inline pressure regulator technopolymer body 1/4in tube inlet(s) 1/4in tube outlet(s) 15-120 psi adjustable range.
PGU14,NITRA pneumatic push-to-connect inline pressure gauge technopolymer body 1/4in tube inlet(s) 1/4in tube outlet(s) 0-170 psi range.,0,0,,,,PGU14 NITRA pneumatic push-to-connect inline pressure gauge technopolymer body 1/4in tube inlet(s) 1/4in tube outlet(s) 0-170 psi range.
97431A340,"""Side-Mount External Retaining Rings for 1/2"""" OD Black-Phosphate 1060-1090 Spring Steel""",0,0,,,,"97431A340 ""Side-Mount External Retaining Rings for 1/2"""" OD Black-Phosphate 1060-1090 Spring Steel"""
90630A115,"""High-Strength Steel Nylon-Insert Locknut Grade 8 5/16""""-18 Thread Size""",0,0,,,,"90630A115 ""High-Strength Steel Nylon-Insert Locknut Grade 8 5/16""""-18 Thread Size"""
91831A002,18-8 Stainless Steel Nylon-Insert Locknut 2-56 Thread Size,0,0,,,,91831A002 18-8 Stainless Steel Nylon-Insert Locknut 2-56 Thread Size
